age,gender,weight_kg,height_m,bmi,fat_percentage,experience_level,goal,resting_bpm,avg_bpm,max_bpm,hrv_ms,session_date,hour_of_day,workout_type,session_duration_hours,workout_frequency_days_week,muscles_trained,calories_burned,water_intake_liters,time_in_gym_min,idle_time_min,completion_pct,sleep_hours,cumulative_load_7d_kcal,fatigue_score,recovery_ready,workout_completed,protein_target_g
32,Female,71.6,1.78,22.7,18.4,1,Muscle Gain,76,133,153,45.9,2024-12-17,6,Strength,1.58,4,"Back, Core",556,3.3,106,29,92.7,5.2,298,49.8,1,1,38
28,Male,80.7,1.72,27.4,23.1,3,Endurance,73,182,192,57.1,2024-06-24,17,HIIT,0.93,5,"Core, Full Body",700,1.8,59,20,93.6,6.5,514,41.1,1,1,27
53,Female,45.0,1.53,19.3,19.2,2,Endurance,64,139,151,20.0,2024-08-20,18,Cardio,0.83,6,"Chest, Arms, Back",244,2.2,56,17,100.0,6.8,231,43.3,1,1,19
34,Male,67.9,1.74,22.5,18.6,3,Weight Loss,56,169,186,82.8,2024-11-01,7,Cardio,1.02,6,"Core, Back, Full Body",483,2.1,69,9,100.0,7.5,471,31.0,1,1,29
24,Female,61.6,1.65,22.6,16.4,1,Muscle Gain,57,141,154,60.9,2024-10-29,6,CrossFit,1.12,4,"Shoulders, Legs",529,3.4,78,27,82.2,6.7,333,45.1,1,1,22
43,Male,91.3,1.82,27.6,26.8,3,Endurance,59,142,164,24.1,2024-02-05,17,Strength,1.7,6,"Core, Arms, Back",825,2.7,112,44,96.3,7.5,751,63.2,0,1,40
22,Male,87.2,1.74,28.8,23.4,3,Weight Loss,47,161,177,29.7,2024-04-27,18,Strength,1.86,3,"Legs, Chest, Back",919,1.6,124,43,100.0,7.1,310,46.1,1,1,31
37,Female,60.8,1.69,21.2,17.7,2,General Fitness,54,130,150,74.8,2024-07-12,10,Strength,1.3,2,Full Body,389,1.7,93,36,78.6,6.0,93,19.8,1,0,28
18,Female,75.2,1.67,27.0,20.3,3,Muscle Gain,50,159,182,62.0,2024-07-16,20,Strength,1.2,5,"Shoulders, Legs",470,4.0,84,29,91.6,5.3,294,39.3,1,1,34
21,Male,105.1,1.85,30.6,25.3,2,Endurance,78,175,184,82.7,2024-03-08,9,Strength,1.1,3,Back,601,3.4,80,26,90.2,7.6,271,18.4,1,1,36
36,Female,86.3,1.64,32.0,30.5,1,General Fitness,71,128,147,46.3,2024-02-25,17,CrossFit,1.45,2,"Core, Legs, Back",1196,3.2,96,30,82.6,8.6,276,33.9,1,1,34
42,Male,45.0,1.72,15.2,11.7,2,Muscle Gain,72,135,164,60.9,2024-01-09,8,Strength,1.86,6,"Shoulders, Full Body, Core",397,2.5,138,42,91.4,9.5,358,19.8,1,1,19
36,Female,64.5,1.56,26.5,23.9,2,Weight Loss,70,136,170,63.5,2024-04-13,6,HIIT,1.01,5,Legs,576,3.7,73,30,100.0,7.9,428,37.0,1,1,18
33,Female,75.9,1.66,27.6,24.5,2,Weight Loss,66,147,165,68.9,2024-09-24,17,Strength,1.54,3,Back,568,1.6,106,41,94.0,8.5,173,8.8,1,1,37
31,Female,47.6,1.65,17.4,11.8,1,Weight Loss,79,163,183,82.5,2024-09-15,17,HIIT,1.06,5,"Arms, Full Body, Legs",457,3.1,82,27,86.7,7.5,273,26.5,1,1,21
20,Female,57.0,1.7,19.8,12.2,2,Flexibility,58,143,180,40.7,2024-12-16,19,CrossFit,1.45,5,"Arms, Shoulders, Full Body",844,2.1,97,24,94.6,7.3,697,47.8,1,1,25
27,Male,77.8,1.83,23.1,17.7,1,Weight Loss,66,133,162,57.7,2024-08-02,17,Strength,1.19,6,"Legs, Back",464,2.3,78,30,69.6,7.1,439,41.1,1,0,41
30,Male,65.2,1.95,17.2,11.3,2,Weight Loss,72,169,184,42.8,2024-03-17,9,Yoga,0.64,4,Arms,117,3.1,55,15,96.3,6.9,58,23.5,1,1,24
45,Female,64.4,1.66,23.4,22.2,2,Endurance,51,152,167,53.9,2024-11-06,18,CrossFit,1.19,5,"Chest, Full Body",592,2.4,88,32,100.0,7.6,357,35.5,1,1,38
38,Male,97.8,1.86,28.2,26.4,2,Muscle Gain,90,141,168,69.0,2024-02-19,12,HIIT,0.63,5,Back,610,2.2,49,9,100.0,6.5,276,24.6,1,1,21
18,Male,54.4,1.74,17.9,9.4,1,Endurance,65,160,171,26.9,2024-03-31,8,Cardio,0.76,4,"Back, Core, Shoulders",289,2.1,64,23,90.9,6.9,202,44.3,1,1,20
38,Male,85.7,1.71,29.4,27.8,2,Muscle Gain,66,152,180,77.2,2024-08-31,20,HIIT,0.58,4,"Chest, Shoulders, Core",471,0.9,44,15,100.0,5.8,271,34.0,1,1,29
31,Male,95.3,1.78,29.9,26.8,1,Muscle Gain,77,155,177,37.2,2024-11-10,17,Yoga,1.06,4,"Shoulders, Arms, Legs",287,3.1,78,15,94.9,7.5,210,29.9,1,1,20
28,Female,76.9,1.79,24.0,19.0,1,Muscle Gain,74,148,172,53.9,2024-11-03,8,Strength,1.5,4,"Full Body, Chest, Core",519,1.7,108,46,80.5,6.0,288,40.5,1,1,46
41,Male,68.1,1.7,23.5,21.4,3,Muscle Gain,65,171,179,74.9,2024-01-20,18,Cardio,1.04,6,"Arms, Legs, Core",557,4.0,73,24,95.7,7.0,498,38.4,1,1,19
45,Female,73.1,1.57,29.6,29.7,3,General Fitness,66,133,147,56.6,2024-09-29,19,Cardio,1.3,3,Legs,677,2.3,90,30,100.0,7.5,329,26.2,1,1,26
44,Male,90.0,1.81,27.5,26.9,2,Weight Loss,49,127,158,61.8,2024-09-14,19,Strength,0.99,2,"Back, Shoulders",461,3.5,75,29,87.8,7.6,164,16.8,1,1,42
26,Male,72.7,1.81,22.3,16.5,3,Weight Loss,59,158,176,26.4,2024-03-01,18,CrossFit,1.68,5,Core,1080,1.1,109,38,100.0,7.8,829,54.6,0,1,34
31,Male,100.0,1.82,30.4,27.4,3,Muscle Gain,70,159,175,29.1,2024-02-17,17,Cardio,0.69,3,"Legs, Arms, Back",540,3.1,47,18,89.5,6.8,232,34.0,1,1,37
38,Male,100.1,1.8,30.9,29.6,3,Weight Loss,69,171,182,68.8,2024-09-03,19,Cardio,1.34,4,"Chest, Core, Legs",984,3.3,97,28,100.0,7.5,565,30.6,1,1,40
44,Male,86.0,1.74,28.3,27.9,1,Endurance,77,140,161,48.2,2024-12-03,18,HIIT,0.42,2,"Arms, Full Body, Back",343,3.5,37,12,87.0,6.5,83,33.6,1,1,21
30,Female,72.7,1.58,29.0,25.5,3,Muscle Gain,63,141,152,40.1,2024-03-07,18,Strength,1.05,4,Legs,354,1.3,70,15,100.0,5.0,191,46.4,1,1,34
33,Male,75.8,1.7,26.3,22.9,2,Weight Loss,51,142,157,74.3,2024-11-04,18,Strength,1.26,6,Arms,384,1.9,86,29,85.8,7.5,332,16.3,1,1,39
23,Female,53.9,1.72,18.3,11.0,1,Muscle Gain,75,149,164,39.0,2024-10-03,7,Cardio,1.28,5,"Chest, Arms, Legs",547,3.0,89,38,72.3,7.3,472,41.2,1,0,10
23,Male,79.2,1.78,25.0,19.1,1,Weight Loss,79,168,194,65.4,2024-01-01,6,Cardio,1.27,3,"Chest, Full Body",764,2.6,78,20,85.0,8.0,306,18.6,1,1,30
43,Male,96.1,1.76,30.9,30.8,2,Weight Loss,73,148,160,55.9,2024-12-13,20,Strength,1.25,6,"Full Body, Legs",571,2.7,89,29,74.7,7.0,567,47.4,1,0,48
48,Female,45.1,1.84,13.4,10.9,1,Muscle Gain,63,135,140,59.9,2024-11-28,20,Strength,1.01,3,Chest,201,2.2,73,15,83.8,5.4,85,28.2,1,1,33
34,Male,59.6,1.99,15.1,9.7,1,General Fitness,75,151,155,49.6,2024-08-08,19,Cardio,1.15,4,Arms,430,3.7,87,30,90.4,6.9,292,27.1,1,1,22
45,Male,84.7,1.7,29.1,29.1,1,Muscle Gain,90,149,157,48.4,2024-09-24,11,Yoga,1.03,4,Chest,263,4.6,71,27,83.6,7.9,166,26.1,1,1,34
38,Male,74.6,1.75,24.4,21.8,3,Muscle Gain,66,160,182,28.4,2024-08-03,7,CrossFit,1.26,6,"Shoulders, Chest, Arms",905,2.6,92,34,100.0,7.5,847,64.5,0,1,35
28,Male,72.6,1.81,22.2,16.9,3,Flexibility,51,147,167,59.7,2024-07-08,11,Strength,1.18,2,Back,424,2.9,81,25,89.9,6.9,139,20.4,1,1,27
38,Female,61.9,1.66,22.5,19.5,1,Weight Loss,59,148,172,46.6,2024-01-23,19,HIIT,0.46,4,"Shoulders, Arms, Back",249,2.5,38,3,92.7,5.3,160,37.3,1,1,18
50,Male,82.3,1.85,24.1,24.2,3,Muscle Gain,71,154,170,69.4,2024-12-23,10,CrossFit,1.23,3,"Arms, Full Body",859,3.5,85,24,100.0,6.0,427,33.3,1,1,34
34,Female,68.6,1.59,27.2,24.3,3,Muscle Gain,48,165,185,45.5,2024-09-28,19,Cardio,1.26,2,"Back, Arms",762,3.2,96,40,100.0,7.5,287,39.3,1,1,22
50,Female,57.9,1.75,18.9,18.0,3,Endurance,66,163,170,28.8,2024-08-07,18,CrossFit,1.09,6,"Core, Back, Legs",569,1.6,69,29,100.0,5.3,606,60.5,0,1,29
18,Male,83.0,1.71,28.5,22.1,1,Weight Loss,68,163,191,55.2,2024-04-27,18,CrossFit,0.88,4,"Core, Full Body",575,2.0,65,22,90.7,6.7,352,32.7,1,1,34
43,Female,63.3,1.69,22.1,20.2,2,Muscle Gain,80,157,177,46.8,2024-09-03,20,Strength,1.25,5,"Shoulders, Arms",396,1.7,85,31,87.1,7.0,264,33.9,1,1,32
35,Male,99.7,1.8,30.7,28.7,3,Muscle Gain,78,176,185,70.2,2024-07-14,20,Strength,1.56,3,"Chest, Back",798,4.7,103,31,100.0,8.1,361,23.3,1,1,47
32,Female,67.2,1.73,22.5,18.2,2,Muscle Gain,73,141,165,47.6,2024-06-28,18,Strength,1.33,5,Chest,409,3.0,93,39,100.0,7.6,208,32.1,1,1,33
35,Male,90.0,1.68,31.8,30.0,1,Muscle Gain,45,133,148,54.5,2024-10-28,8,Strength,0.95,5,"Chest, Arms",454,2.0,73,22,82.1,8.0,365,36.6,1,1,41
18,Female,65.5,1.67,23.6,16.3,2,Endurance,74,166,182,83.2,2024-12-22,20,CrossFit,1.44,4,"Back, Arms, Full Body",749,2.0,99,37,82.7,7.3,360,29.9,1,1,20
32,Male,69.4,1.79,21.6,17.1,2,Muscle Gain,72,147,161,65.2,2024-10-21,8,CrossFit,1.1,4,Chest,571,3.1,82,22,94.9,6.2,381,34.5,1,1,33
38,Male,63.8,1.84,18.9,15.2,2,Weight Loss,67,159,182,88.3,2024-02-20,11,Strength,1.41,6,"Core, Chest, Back",453,3.2,93,32,100.0,6.4,504,33.8,1,1,36
49,Female,62.4,1.69,21.8,21.2,1,Weight Loss,47,133,149,85.2,2024-08-05,19,HIIT,0.55,5,Chest,307,3.1,43,21,68.3,6.1,172,29.0,1,0,27
29,Female,78.7,1.62,29.8,26.2,1,General Fitness,57,149,162,42.3,2024-03-09,8,HIIT,0.56,4,"Chest, Arms",396,2.2,39,9,85.0,7.6,225,38.8,1,1,30
26,Male,81.8,1.83,24.4,19.1,3,Endurance,53,184,194,69.8,2024-05-10,18,Cardio,1.04,4,Legs,599,2.7,82,32,93.6,6.3,288,26.2,1,1,27
29,Male,65.4,1.83,19.6,14.0,3,Flexibility,45,145,164,80.5,2024-09-01,17,HIIT,0.52,5,"Shoulders, Back, Arms",291,2.6,40,9,100.0,6.6,154,22.9,1,1,23
44,Female,80.6,1.69,28.1,27.6,1,General Fitness,64,141,163,90.7,2024-04-29,18,CrossFit,0.73,2,Core,545,1.8,52,14,88.8,7.0,153,16.5,1,1,32
38,Female,64.0,1.61,24.6,22.1,3,Flexibility,57,155,182,69.8,2024-02-12,21,Strength,1.35,4,"Arms, Shoulders, Back",448,1.8,94,33,100.0,8.6,280,23.4,1,1,35
29,Female,67.6,1.64,25.0,20.5,1,Endurance,90,148,175,79.4,2024-05-25,19,Strength,1.31,6,"Full Body, Shoulders",409,2.8,94,38,92.3,7.7,390,30.5,1,1,29
40,Female,63.8,1.65,23.4,21.1,2,Endurance,63,132,152,48.9,2024-11-02,9,Strength,1.33,6,Chest,358,2.7,86,29,81.0,6.2,314,34.2,1,1,34
35,Female,79.8,1.53,33.9,32.5,3,Weight Loss,77,174,182,33.3,2024-10-05,6,Cardio,1.28,5,Core,710,2.9,93,36,94.6,7.2,381,39.1,1,1,25
44,Female,61.9,1.56,25.4,24.4,3,General Fitness,49,150,166,43.0,2024-07-28,21,Cardio,0.97,3,"Legs, Shoulders",456,3.1,67,29,94.9,8.7,199,28.9,1,1,21
27,Male,69.9,1.71,23.8,18.6,3,Muscle Gain,59,176,193,20.0,2024-05-11,18,Cardio,1.49,6,"Shoulders, Core",742,3.7,107,34,100.0,7.6,494,50.5,0,1,27
31,Male,107.2,1.74,35.3,33.3,1,Weight Loss,65,144,154,86.9,2024-04-06,7,Cardio,1.5,4,Core,1137,1.9,97,26,90.6,5.4,511,26.9,1,1,35
31,Female,54.7,1.71,18.6,13.2,3,Weight Loss,55,145,182,44.3,2024-01-03,18,Yoga,0.71,3,"Core, Chest, Full Body",111,3.0,56,18,100.0,6.1,40,22.3,1,1,20
20,Female,73.2,1.71,25.1,18.5,1,General Fitness,60,142,162,85.8,2024-12-29,6,Cardio,1.36,4,"Core, Legs",742,3.1,92,39,73.3,6.0,491,37.9,1,0,21
37,Male,85.3,1.72,28.7,26.7,2,Weight Loss,62,142,162,30.4,2024-01-04,8,Cardio,1.46,5,Back,993,2.3,92,28,100.0,8.4,767,57.2,0,1,34
37,Male,74.9,1.7,25.9,23.4,2,Weight Loss,62,163,177,76.7,2024-10-22,18,Yoga,0.86,3,Back,193,2.6,55,24,92.6,8.3,87,3.4,1,1,25
35,Female,45.0,1.65,16.6,11.8,2,Muscle Gain,83,139,162,45.1,2024-09-24,12,Yoga,0.76,6,"Shoulders, Back, Full Body",103,2.3,52,17,96.2,6.4,77,35.8,1,1,20
32,Male,65.6,1.73,21.9,17.4,1,General Fitness,68,159,169,34.3,2024-03-01,10,Strength,1.36,6,Legs,438,4.2,97,43,60.7,6.4,354,44.2,1,0,32
20,Male,123.5,1.67,44.5,40.0,3,Muscle Gain,69,185,200,82.5,2024-09-23,18,Cardio,0.75,2,"Back, Chest",667,2.6,45,27,99.7,7.0,151,12.1,1,1,32
30,Male,78.2,1.92,21.2,16.1,1,General Fitness,70,161,190,82.1,2024-01-04,20,Yoga,1.11,6,"Full Body, Arms",279,2.9,78,32,81.0,7.1,288,19.5,1,1,26
31,Male,53.1,1.87,15.2,9.2,1,General Fitness,71,144,171,64.2,2024-07-11,18,Strength,0.9,6,Chest,253,2.3,65,15,87.2,6.0,288,27.9,1,1,25
26,Male,104.4,1.73,35.1,31.9,2,General Fitness,64,173,181,55.7,2024-12-01,17,Cardio,0.66,2,"Arms, Chest, Core",601,2.1,41,2,100.0,6.8,186,25.9,1,1,33
33,Male,91.2,1.8,28.2,25.2,2,Muscle Gain,61,145,166,63.8,2024-04-15,18,Cardio,1.53,3,Back,1097,1.5,98,35,87.1,5.5,522,36.7,1,1,11
39,Male,70.5,1.81,21.5,18.6,3,Endurance,66,136,165,53.9,2024-12-18,18,Strength,0.6,3,"Shoulders, Full Body",203,3.4,42,19,90.3,8.3,85,17.7,1,1,31
53,Female,68.8,1.64,25.5,26.6,2,Weight Loss,76,132,156,39.2,2024-06-10,19,Strength,1.3,3,Full Body,415,3.1,88,33,75.3,5.2,135,43.6,1,0,32
36,Male,92.1,1.72,31.0,29.3,1,Weight Loss,76,157,168,51.8,2024-07-28,9,Cardio,1.44,5,"Chest, Back",1071,2.3,104,33,77.6,5.2,668,50.9,0,0,23
37,Female,68.4,1.7,23.6,20.6,3,Muscle Gain,62,135,149,89.2,2024-07-04,7,Yoga,1.13,3,"Chest, Shoulders",217,1.8,83,22,94.0,7.4,87,10.3,1,1,24
34,Female,74.7,1.65,27.3,24.4,2,Weight Loss,72,153,169,100.0,2024-02-24,18,Yoga,1.03,6,"Full Body, Shoulders",246,2.6,70,29,88.8,5.8,199,14.9,1,1,22
18,Male,108.8,1.69,38.3,33.9,1,Muscle Gain,63,134,149,91.3,2024-03-20,7,CrossFit,1.27,6,"Shoulders, Core",1103,2.1,82,38,67.6,6.5,858,48.2,1,0,42
34,Female,79.8,1.6,31.2,29.1,2,Weight Loss,65,141,173,64.6,2024-08-06,17,Strength,1.2,3,"Full Body, Arms, Shoulders",492,2.3,74,23,100.0,7.1,212,13.8,1,1,32
35,Male,104.4,1.87,29.9,27.7,2,Weight Loss,60,132,136,48.2,2024-11-29,8,Strength,1.5,4,Back,717,1.5,98,38,77.3,7.7,357,37.5,1,0,46
59,Female,59.0,1.66,21.3,22.9,2,General Fitness,63,142,161,39.0,2024-10-26,10,Yoga,0.87,4,"Back, Chest",164,2.7,58,33,91.1,6.8,124,23.2,1,1,22
33,Male,67.0,1.7,23.3,19.4,2,Endurance,78,157,166,40.4,2024-05-09,17,Cardio,0.92,4,"Core, Arms, Chest",417,2.7,65,22,99.8,8.8,189,23.4,1,1,23
38,Female,74.4,1.64,27.8,25.9,3,Endurance,65,170,182,38.9,2024-05-13,20,Cardio,1.37,3,"Legs, Chest, Core",781,3.4,92,31,94.6,7.0,379,38.0,1,1,24
34,Female,73.5,1.74,24.4,20.9,3,Muscle Gain,66,165,168,93.0,2024-10-01,18,Strength,1.22,3,"Shoulders, Arms, Core",441,2.4,81,31,100.0,8.2,182,6.9,1,1,46
23,Male,54.0,1.83,16.0,8.3,2,Muscle Gain,50,173,188,91.1,2024-08-04,7,Strength,1.43,2,Chest,389,2.2,94,31,86.7,7.3,119,3.7,1,1,28
46,Male,75.6,1.68,26.9,26.7,1,Muscle Gain,61,132,164,74.9,2024-10-16,20,Cardio,1.28,3,"Chest, Back, Full Body",703,1.3,83,36,82.9,9.1,324,24.5,1,1,20
42,Female,65.1,1.65,24.0,22.3,3,Muscle Gain,62,156,178,30.8,2024-07-06,17,Strength,1.16,6,"Chest, Core, Back",365,3.4,77,25,100.0,8.1,320,30.1,1,1,25
42,Female,70.1,1.65,25.9,24.5,2,Muscle Gain,56,144,154,72.9,2024-11-09,8,CrossFit,1.11,3,"Chest, Arms",670,3.2,84,29,100.0,7.0,238,18.0,1,1,37
25,Male,77.4,1.79,24.3,18.7,2,Weight Loss,65,155,183,50.2,2024-05-21,17,Strength,1.9,2,Arms,676,2.5,127,37,89.9,7.6,184,35.8,1,1,43
49,Female,90.6,1.6,35.2,37.3,2,Weight Loss,60,149,171,20.0,2024-12-14,8,CrossFit,1.66,4,"Chest, Arms, Full Body",1176,1.4,112,38,94.0,6.7,689,63.7,0,1,33
20,Male,83.6,1.83,25.1,18.5,3,Muscle Gain,65,175,195,55.7,2024-07-22,11,Yoga,1.1,2,"Core, Arms",268,1.5,81,23,100.0,6.7,78,18.9,1,1,24
40,Female,61.3,1.77,19.6,16.5,2,Muscle Gain,66,156,180,38.2,2024-04-14,19,Cardio,1.22,2,"Arms, Legs, Core",543,2.1,88,33,95.4,5.7,131,37.7,1,1,19
56,Male,92.5,1.82,27.9,30.2,1,General Fitness,55,132,158,43.8,2024-07-30,18,HIIT,0.6,4,Core,459,3.3,53,10,98.6,6.2,313,40.0,1,1,28
25,Female,57.3,1.72,19.2,12.6,2,General Fitness,61,142,167,50.0,2024-10-09,17,HIIT,0.65,4,"Legs, Back, Full Body",360,2.7,52,23,93.1,9.1,129,8.7,1,1,10
29,Male,45.0,1.81,13.7,8.0,3,Muscle Gain,65,168,181,40.0,2024-10-12,8,Strength,1.33,2,"Back, Core",291,1.3,91,27,100.0,5.8,80,31.4,1,1,30
35,Male,88.4,1.69,30.8,28.8,1,Muscle Gain,76,135,160,59.3,2024-09-04,9,Cardio,0.97,4,"Legs, Shoulders, Full Body",632,2.8,65,32,74.8,6.3,311,35.1,1,0,33
29,Male,87.9,1.88,25.0,20.5,3,General Fitness,67,165,186,48.4,2024-04-01,21,Cardio,1.74,4,Chest,1025,1.8,110,45,89.9,6.9,602,54.0,0,1,17
19,Male,82.3,1.74,27.3,20.9,2,General Fitness,58,165,189,20.0,2024-07-08,10,HIIT,0.85,4,"Arms, Full Body",734,2.1,65,25,84.6,6.9,483,51.9,0,1,34
35,Male,95.4,1.84,28.1,25.6,2,Weight Loss,68,167,181,85.4,2024-10-13,18,Cardio,1.8,5,Chest,1538,3.3,117,33,88.7,7.4,867,42.2,1,1,37
24,Male,71.9,1.89,20.1,13.4,1,Weight Loss,82,139,160,40.3,2024-10-11,17,Cardio,1.26,3,"Back, Arms, Legs",637,3.1,79,25,81.4,6.5,369,39.1,1,1,8
39,Female,76.1,1.61,29.3,27.9,1,Weight Loss,74,129,142,41.0,2024-09-04,6,Cardio,1.13,4,Legs,708,3.4,67,19,86.6,7.4,417,45.8,1,1,13
25,Male,58.5,1.68,20.8,14.5,3,Endurance,70,148,150,43.4,2024-05-09,20,Cardio,1.62,5,Back,706,2.5,118,37,100.0,8.1,533,45.1,1,1,19
50,Male,88.1,1.72,29.9,31.2,1,Muscle Gain,72,131,158,57.8,2024-06-06,7,Cardio,1.29,6,"Legs, Back",962,3.2,82,37,79.2,8.3,646,43.1,1,0,34
27,Male,111.3,1.87,31.7,28.1,3,Muscle Gain,79,178,185,79.2,2024-10-22,18,Cardio,1.24,5,"Full Body, Arms",1063,2.0,81,28,100.0,6.7,754,44.5,1,1,34
31,Male,67.1,1.77,21.5,16.7,2,Flexibility,75,166,186,60.4,2024-06-25,19,CrossFit,0.84,4,"Legs, Arms, Core",483,2.3,67,20,91.7,7.6,316,20.5,1,1,32
